,,,
MATERIAL,DESCRIPCIÓN,ITF,CENTRO
F04849I        ,LEVONORGESTREL C/2 TABS.F AHORRO INTER. ,              ,1007
FCD0091        ,JOVAN DEO SPRAY MUSK FOR WOMEN 150ml    ,13614225800914,1007
FKA4765I       ,JF DREAM CURLS CONDITIONER 8.45 Fl Oz   ,10717226247658,1007
FKA4914I       ,JF FLAWLESSLY STRAIGHT CONDIT. 8.45 Fl O,10717226249140,1007
FKC9041I       ,INT. JE SOL BODY APPLICATOR MITT        ,10019100259048,1007
FKE9573I       ,INT. ULTRA FILLER+HAIR DENSITY SCALP SER,10717226295734,1007
FKLF8672       ,SIDEKICK SORIANA BIORÉ 2015             ,037836086724  ,1007
FKS4764I       ,JF DREAM CURLS SHAMPOO 8.45 Fl Oz       ,10717226247641,1007
FKS4913I       ,JF FLAWLESSLY STRAIGHT SH. 8.45 Fl Oz   ,10717226249133,1007
FLF8621        ,SIDEKICK MAGIC LOVE                     ,7501022186213 ,1007
FUA4929B       ,SAVILE ACON. BIOTINA 700 ml             ,10850035181857,1007
FUA4931B       ,SAVILE ACON. COLAGENO 700 ml            ,10850035181864,1007
FUA4932B       ,SAVILE ACON. KERATINA 700 ml            ,10850035181871,1007
FUF4784I       ,INT. SIMPLE WATER BOOST HYDR. EYE GEL 25,08720181047886,1007
FUS4920B       ,SAVILE SH. 2EN1 MIEL 700 ml             ,10850035181888,1007
FUS4921B       ,SAVILE SH. 2EN1 CHILE 700 ml            ,10850035181895,1007
FUS4922B       ,SAVILE SH. BIOTINA 700 ml               ,10850035181901,1007
FUS4923B       ,SAVILE SH. COLAGENO 700 ml              ,10850035181918,1007
FUS4924B       ,SAVILE SH. KERATINA 700 ml              ,10850035181925,1007
FCF4860        ,SALLY HANSEN RIZADOR PESTAÑAS C/REPUESTO,10075280748604,1007
FP2007         ,"BAT.ALCAL.RECARG. ""AAA"" BLISTER C/4 PZAS",80763810020076,1007
FP2111         ,CARG.PARED C/4 BAT.ALCAL.RECARG.IGO AA  ,80763810021110,1007
FP2114         ,CARG.USB C/2 BAT.ALCAL.RECARG.IGO AA    ,80753810021142,1007
FP2224         ,"BAT.ALCAL.RECARG. ""AA"" BLISTER C/4 PZAS ",80763810022247,1007
FP3629         ,KIT 6BLISTER 3C/4BAT.AA+3C/4BAT.AAA     ,83000000036293,1007
FP3630         ,KIT 3BLIST CARGADOR PARED C/4BAT.AA     ,83000000036309,1007
FP3631         ,KIT 3BLIST CARGADOR USB C/2BAT.AA       ,83000000036316,1007
FHL4791A       ,MASC. GOLDEN EASY PEEL OF 10 ML SP12    ,20083800047912,1007
FHL4793A       ,MASC. SILVER EASY PEEL 10ML SP12        ,20083800047936,1007
FHL4959A       ,MASC. STARDUST PURIF. ROSE QUARZ SP12   ,20087800049596,1007
J05111         ,GRISI JABON BAMBÚ 125G                  ,57501022151117,1007
C04021         ,MINI KIT RICITOS DE ORO MIEL 4PZAS      ,17501022140212,1007
J05022         ,RICITOS DE ORO NEUTRO JABON 90 g        ,87501022150227,1007
FKCF7080       ,PALLET CHEDRAUI 2021 CARGA ALTA         ,037836070808  ,1007
FKCF8666       ,PDQ Baking Soda WM                      ,037836086663  ,1007
FKEF7329       ,PDQ JF SERUMS 2024                      ,7501022173299 ,1007
FKL0288I       ,OF.3PACK BI AQUA RICH SPF50 INT.        ,87501022173967,1007
FKL0366        ,BI LIMPIADOR PROFUNDO CARBON NATURAL 200,10019100203669,1007
FKL0366I       ,BI LIMPIADOR PROFUNDO CARBON NATURAL 200,10019100203669,1007
FKL0367        ,BI MASCARILLA TERMICA CARBON NATURAL 4PZ,10019100203676,1007
FKL0367I       ,BI MASCARILLA TERMICA CARBON NATURAL 4PZ,10019100203676,1007
FKL0989        ,BI BANDAS LIMPIEZA PROFUNDA PROMO 8+2   ,10019100209890,1007
FKL0989I       ,BI BANDAS LIMPIEZA PROFUNDA PROMO 8+2   ,10019100209890,1007
FKL1920        ,BI BANDAS LIMP.PROF.CARBON NAT.NARIZ C/6,10019100219202,1007
FKL1920A       ,SACHET BI BANDAS LIMP.PROF.CARBON C/3P  ,80850040940189,1007
FKL1920I       ,BI BANDAS LIMP.PROF.CARBON NAT.NARIZ C/6,10019100219202,1007
FKL1921        ,BI BARRA LIMP. P/POROS CARBON NAT. 107g ,10019100219219,1007
FKL1921I       ,BI BARRA LIMP. P/POROS CARBON NAT. 107g ,10019100219219,1007
FKL1922        ,BI LIMP.MINIMIZAD.POROS CARBON NAT. 92ml,10019100219226,1007
FKL1922I       ,BI LIMP.MINIMIZAD.POROS CARBON NAT. 92ml,10019100219226,1007
FKL20000       ,BI TOALLITAS DESMAQUILLANTES C/50       ,10019100200002,1007
FKL20000I      ,BI TOALLITAS DESMAQUILLANTES C/50       ,10019100200002,1007
FKL2809        ,BI LIMPIADOR DE POROS BICARBONATO 29 ML ,10019100228099,1007
FKL2809I       ,BI LIMPIADOR DE POROS BICARBONATO 29 ML ,10019100228099,1007
FKL2882        ,BI LIMPIADOR DE POROS BICARBONATO 200 ML,10019100228822,1007
FKL3136        ,BI LIMPIADOR EXFOLIANTE BICARBONATO 128G,10019100231365,1007
FKL3196        ,BI BANDAS LIMPIADORAS DE POROS c/14 PZAS,10019100231969,1007
FKL3196I       ,BI BANDAS LIMPIADORAS DE POROS c/14 PZAS,10019100231969,1007
FKL3847        ,LIMPIADOR P/ACNE c/CARBON NAT 200ml     ,10019100238470,1007
FKL3847I       ,LIMPIADOR P/ACNE c/CARBON NAT 200ml     ,10019100238470,1007
FKL3859        ,BI EXFOLIADOR P/ACNE c/BICARBONATO 127g ,10019100238593,1007
FKL3859I       ,BI EXFOLIADOR P/ACNE c/BICARBONATO 127g ,10019100238593,1007
FKL3888        ,BI EXFOLIADOR P/ACNE c/CARBON NAT 127g  ,10019100238883,1007
FKL3888I       ,BI EXFOLIADOR P/ACNE c/CARBON NAT 127g  ,10019100238883,1007
FKL4656        ,BI ESPUMA LIMPIADORA C/BAKING SODA 200ml,10019100246567,1007
FKL4656I       ,BI ESPUMA LIMPIADORA C/BAKING SODA 200ml,10019100246567,1007
FKL5398        ,AGUA MICELAR LIMPIAD.C/BICARBONATO 296ML,10019100253985,1007
FKL5399        ,AGUA MICELAR LIMPIAD.C/CARBON 296ML     ,10019100253992,1007
FKL5503        ,BI SACHET MASC. DESINTOX CARBON         ,10019100255033,1007
FKL5503I       ,BI SACHET MASC. DESINTOX CARBON         ,10019100255033,1007
FKL5504        ,BI SACHET MASC. DESINTOX BAKING SODA    ,10019100255040,1007
FKL5736        ,BI MASCARILLA NUTRIT. BAKING SODA 4 OZ  ,10019100257365,1007
FKL5737        ,BI MASCARILLA NUTRIT. CARBON 4 OZ       ,10019100257372,1007
FKL5860        ,BI TOALLITAS MICELAR C/BICARBONATO 25PZ ,10019100258607,1007
FKL5861        ,BI TOALLITAS MICELAR C/CARBÓN 25 PZAS   ,10019100258614,1007
FKL6379        ,BI BANDITAS MEN SKINCARE CARBON 6PZAS   ,10019100263793,1007
FKL6379I       ,BI BANDITAS MEN SKINCARE CARBON 6PZAS   ,10019100263793,1007
FKL6380        ,BI MEN LIMP. FACIAL CARBON 6.77 FL OZ   ,10019100263809,1007
FKL6380I       ,BI MEN LIMP. FACIAL CARBON 6.77 FL OZ   ,10019100263809,1007
FKL6407        ,LIMP. PURIFICANTE QUARZO ROSA 200ML     ,10019100264073,1007
FKL6407I       ,INT.BI LIMP. PURIFIC. QUARZO ROSA 200ML ,10019100264073,1007
FKL6412        ,BI EXFOL. PURIF. POROS QUARZO ROSA 110ML,10019100264127,1007
FKL6412I       ,INT. BI EXFOL. PURIF. QUARZO ROSA 110ML ,10019100264127,1007
FKL6420        ,BI MASC. ARCILLA RELAJ. QUARZO ROSA 50ML,10019100264202,1007
FKL6420I       ,INT. BI MASC. AR.RELAJ. QUARZO ROSA 50ML,10019100264202,1007
FKL7094        ,BI GEL LIMPIADOR ILUMINANTE 110ML       ,10019100270944,1007
FKL7094I       ,BI GEL LIMPIADOR ILUMINANTE 110ML       ,10019100270944,1007
FKL7108        ,BI MASCARILLA ARCILLA ILUMINANTE 50ML   ,10019100271088,1007
FKL7108A       ,BI MASC. ARCILLA ILUMINANTE 50ML 5PZA   ,10019100271088,1007
FKL7108I       ,BI MASCARILLA ARCILLA ILUMINANTE 50ML   ,10019100271088,1007
FKL7110        ,BI LIMPIADOR PROF. P/DESTAPAR POROS 28g ,10019100171104,1007
FKL7110I       ,BI LIMPIADOR PROF. P/DESTAPAR POROS 28g ,10019100171104,1007
FKL7116        ,BI BAND.LIMP.PROF.CARB.NAT.NARIZ C/6 AM ,80037836071160,1007
FKL7117        ,BI BAND. LIMPIADORAS DE POROS C/14 AM   ,80037836071177,1007
FKL7118        ,BI BAND. LIMPIEZA PROFUNDA NARIZ C/8 AM ,80037836071184,1007
